drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	google	uptodate	drug_url	disease_url	tie	3-person consensus	pouya agreed with at least one person
Dexamethasone	asthma	SYM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A2841	FALSE	FALSE	FALSE
Dexamethasone	brain cancer	SYM	SYM	SYM				https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A1319	FALSE	TRUE	TRUE
Dexamethasone	hypertension	NOT	NOT	NOT		worsens		https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Dexamethasone	multiple sclerosis	SYM	SYM	DM				https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	FALSE	FALSE
Dexamethasone	psoriasis	SYM	SYM	DM				https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A8893	FALSE	FALSE	FALSE
Dexamethasone	psoriatic arthritis	SYM	SYM	DM				https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A9008	FALSE	FALSE	FALSE
Dexamethasone	rheumatoid arthritis	SYM	SYM	DM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A7148	FALSE	FALSE	FALSE
Dexamethasone	systemic lupus erythematosus	SYM	SYM	DM			see notes for lupus	https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A9074	FALSE	FALSE	FALSE
Dexamethasone	ulcerative colitis	SYM	SYM	DM				https://www.google.com/webhp#q=Dexamethasone	http://www.uptodate.com/contents/search?search=Dexamethasone	http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A8577	FALSE	FALSE	FALSE
Dextroamphetamine	attention deficit hyperactivity disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Dextroamphetamine	http://www.uptodate.com/contents/search?search=Dextroamphetamine	http://www.drugbank.ca/drugs/DB01576	http://www.disease-ontology.org/term/DOID%3A1094	FALSE	TRUE	TRUE
Dextroamphetamine	narcolepsy	SYM	SYM	SYM	Pilot classification: symptomatic; Pilot notes:			https://www.google.com/webhp#q=Dextroamphetamine	http://www.uptodate.com/contents/search?search=Dextroamphetamine	http://www.drugbank.ca/drugs/DB01576	http://www.disease-ontology.org/term/DOID%3A8986	FALSE	TRUE	TRUE
Dextromethorphan	amyotrophic lateral sclerosis	SYM	SYM	SYM				https://www.google.com/webhp#q=Dextromethorphan	http://www.uptodate.com/contents/search?search=Dextromethorphan	http://www.drugbank.ca/drugs/DB00514	http://www.disease-ontology.org/term/DOID%3A332	FALSE	TRUE	TRUE
Dextromethorphan	multiple sclerosis	SYM	SYM	SYM				https://www.google.com/webhp#q=Dextromethorphan	http://www.uptodate.com/contents/search?search=Dextromethorphan	http://www.drugbank.ca/drugs/DB00514	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	TRUE	TRUE
Dextrothyroxine	coronary artery disease	NOT	NOT	NOT	Pilot classification: disease-modifying; Pilot notes: cholesterol lowering agent; pulled due to cardiac side effects			https://www.google.com/webhp#q=Dextrothyroxine	http://www.uptodate.com/contents/search?search=Dextrothyroxine	http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	TRUE	TRUE
Dextrothyroxine	thyroid cancer	NOT	NOT	NOT				https://www.google.com/webhp#q=Dextrothyroxine	http://www.uptodate.com/contents/search?search=Dextrothyroxine	http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A1781	FALSE	TRUE	TRUE
Diazepam	epilepsy syndrome	SYM	SYM	DM				https://www.google.com/webhp#q=Diazepam	http://www.uptodate.com/contents/search?search=Diazepam	http://www.drugbank.ca/drugs/DB00829	http://www.disease-ontology.org/term/DOID%3A1826	FALSE	FALSE	FALSE
Diazepam	multiple sclerosis	SYM	SYM	SYM				https://www.google.com/webhp#q=Diazepam	http://www.uptodate.com/contents/search?search=Diazepam	http://www.drugbank.ca/drugs/DB00829	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	TRUE	TRUE
Diazepam	panic disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Diazepam	http://www.uptodate.com/contents/search?search=Diazepam	http://www.drugbank.ca/drugs/DB00829	http://www.disease-ontology.org/term/DOID%3A594	FALSE	TRUE	TRUE
Diazoxide	hypertension	SYM	SYM	SYM	tx of acute htn			https://www.google.com/webhp#q=Diazoxide	http://www.uptodate.com/contents/search?search=Diazoxide	http://www.drugbank.ca/drugs/DB01119	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Diclofenac	ankylosing spondylitis	SYM	SYM	SYM				https://www.google.com/webhp#q=Diclofenac	http://www.uptodate.com/contents/search?search=Diclofenac	http://www.drugbank.ca/drugs/DB00586	http://www.disease-ontology.org/term/DOID%3A7147	FALSE	TRUE	TRUE
Diclofenac	migraine	SYM	SYM	SYM				https://www.google.com/webhp#q=Diclofenac	http://www.uptodate.com/contents/search?search=Diclofenac	http://www.drugbank.ca/drugs/DB00586	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	TRUE	TRUE
Diclofenac	osteoarthritis	SYM	SYM	SYM			"see notes on osteoarthritis, NSAIDs and steroids"	https://www.google.com/webhp#q=Diclofenac	http://www.uptodate.com/contents/search?search=Diclofenac	http://www.drugbank.ca/drugs/DB00586	http://www.disease-ontology.org/term/DOID%3A8398	FALSE	TRUE	TRUE
Diclofenac	rheumatoid arthritis	SYM	SYM	SYM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Diclofenac	http://www.uptodate.com/contents/search?search=Diclofenac	http://www.drugbank.ca/drugs/DB00586	http://www.disease-ontology.org/term/DOID%3A7148	FALSE	TRUE	TRUE
Diclofenac	systemic scleroderma	SYM	SYM	SYM				https://www.google.com/webhp#q=Diclofenac	http://www.uptodate.com/contents/search?search=Diclofenac	http://www.drugbank.ca/drugs/DB00586	http://www.disease-ontology.org/term/DOID%3A418	FALSE	TRUE	TRUE
Didanosine	acquired immunodeficiency syndrome	DM	DM	DM				https://www.google.com/webhp#q=Didanosine	http://www.uptodate.com/contents/search?search=Didanosine	http://www.drugbank.ca/drugs/DB00900	http://www.disease-ontology.org/term/DOID%3A635	FALSE	TRUE	TRUE
Diflunisal	rheumatoid arthritis	SYM	SYM	SYM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Diflunisal	http://www.uptodate.com/contents/search?search=Diflunisal	http://www.drugbank.ca/drugs/DB00861	http://www.disease-ontology.org/term/DOID%3A7148	FALSE	TRUE	TRUE
Digoxin	coronary artery disease	NOT	NOT	SYM			per assumption 2	https://www.google.com/webhp#q=Digoxin	http://www.uptodate.com/contents/search?search=Digoxin	http://www.drugbank.ca/drugs/DB00390	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	FALSE	FALSE
Dihydroergotamine	migraine	SYM	SYM	SYM				https://www.google.com/webhp#q=Dihydroergotamine	http://www.uptodate.com/contents/search?search=Dihydroergotamine	http://www.drugbank.ca/drugs/DB00320	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	TRUE	TRUE
Dinoprostone	germ cell cancer	NOT	NOT	NOT				https://www.google.com/webhp#q=Dinoprostone	http://www.uptodate.com/contents/search?search=Dinoprostone	http://www.drugbank.ca/drugs/DB00917	http://www.disease-ontology.org/term/DOID%3A2994	FALSE	TRUE	TRUE
Dinoprostone	uterine cancer	NOT	NOT	NOT				https://www.google.com/webhp#q=Dinoprostone	http://www.uptodate.com/contents/search?search=Dinoprostone	http://www.drugbank.ca/drugs/DB00917	http://www.disease-ontology.org/term/DOID%3A363	FALSE	TRUE	TRUE
Diphenhydramine	allergic rhinitis	SYM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	https://www.google.com/webhp#q=Diphenhydramine	http://www.uptodate.com/contents/search?search=Diphenhydramine	http://www.drugbank.ca/drugs/DB01075	http://www.disease-ontology.org/term/DOID%3A4481	FALSE	FALSE	FALSE
Diphenhydramine	atopic dermatitis	SYM	SYM	DM			see notes on atopic dermatitis	https://www.google.com/webhp#q=Diphenhydramine	http://www.uptodate.com/contents/search?search=Diphenhydramine	http://www.drugbank.ca/drugs/DB01075	http://www.disease-ontology.org/term/DOID%3A3310	FALSE	FALSE	FALSE
Dipivefrin	hypertension	NOT	NOT	NOT			see notes regarding occular HTN	https://www.google.com/webhp#q=Dipivefrin	http://www.uptodate.com/contents/search?search=Dipivefrin	http://www.drugbank.ca/drugs/DB00449	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Dipyridamole	coronary artery disease	SYM	SYM	SYM			"technically SYM could be correct, but I don't think it is used in practice. It's used during stress tests as a diagnostic tool, and used as anti-coag in valve replacement"	https://www.google.com/webhp#q=Dipyridamole	http://www.uptodate.com/contents/search?search=Dipyridamole	http://www.drugbank.ca/drugs/DB00975	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	TRUE	TRUE
Docetaxel	breast cancer	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A1612	FALSE	TRUE	TRUE
Docetaxel	head and neck cancer	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A11934	FALSE	TRUE	TRUE
Docetaxel	lung cancer	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A1324	FALSE	TRUE	TRUE
Docetaxel	melanoma	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A1909	FALSE	TRUE	TRUE
Docetaxel	ovarian cancer	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A2394	FALSE	TRUE	TRUE
Docetaxel	pancreatic cancer	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A1793	FALSE	TRUE	TRUE
Docetaxel	prostate cancer	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A10283	FALSE	TRUE	TRUE
Docetaxel	skin cancer	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A4159	FALSE	TRUE	TRUE
Docetaxel	stomach cancer	DM	DM	DM				https://www.google.com/webhp#q=Docetaxel	http://www.uptodate.com/contents/search?search=Docetaxel	http://www.drugbank.ca/drugs/DB01248	http://www.disease-ontology.org/term/DOID%3A10534	FALSE	TRUE	TRUE
Dopamine	coronary artery disease	NOT	NOT	NOT				https://www.google.com/webhp#q=Dopamine	http://www.uptodate.com/contents/search?search=Dopamine	http://www.drugbank.ca/drugs/DB00988	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	TRUE	TRUE
Dorzolamide	glaucoma	DM	DM	DM				https://www.google.com/webhp#q=Dorzolamide	http://www.uptodate.com/contents/search?search=Dorzolamide	http://www.drugbank.ca/drugs/DB00869	http://www.disease-ontology.org/term/DOID%3A1686	FALSE	TRUE	TRUE
Dorzolamide	hypertension	NOT	NOT	NOT			see notes regarding occular HTN	https://www.google.com/webhp#q=Dorzolamide	http://www.uptodate.com/contents/search?search=Dorzolamide	http://www.drugbank.ca/drugs/DB00869	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Doxorubicin	bone cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A184	FALSE	TRUE	TRUE
Doxorubicin	breast cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A1612	FALSE	TRUE	TRUE
Doxorubicin	hematologic cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A2531	FALSE	TRUE	TRUE
Doxorubicin	kidney cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A263	FALSE	TRUE	TRUE
Doxorubicin	liver cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A3571	FALSE	TRUE	TRUE
Doxorubicin	lung cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A1324	FALSE	TRUE	TRUE
Doxorubicin	muscle cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A4045	FALSE	TRUE	TRUE
Doxorubicin	ovarian cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A2394	FALSE	TRUE	TRUE
Doxorubicin	pancreatic cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A1793	FALSE	TRUE	TRUE
Doxorubicin	peripheral nervous system neoplasm	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A1192	FALSE	TRUE	TRUE
Doxorubicin	prostate cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A10283	FALSE	TRUE	TRUE
Doxorubicin	sarcoma	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A1115	FALSE	TRUE	TRUE
Doxorubicin	stomach cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A10534	FALSE	TRUE	TRUE
Doxorubicin	testicular cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A2998	FALSE	TRUE	TRUE
Doxorubicin	thyroid cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A1781	FALSE	TRUE	TRUE
Doxorubicin	urinary bladder cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A11054	FALSE	TRUE	TRUE
Doxorubicin	uterine cancer	DM	DM	DM				https://www.google.com/webhp#q=Doxorubicin	http://www.uptodate.com/contents/search?search=Doxorubicin	http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A363	FALSE	TRUE	TRUE
Duloxetine	bipolar disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Duloxetine	http://www.uptodate.com/contents/search?search=Duloxetine	http://www.drugbank.ca/drugs/DB00476	http://www.disease-ontology.org/term/DOID%3A3312	FALSE	TRUE	TRUE
Duloxetine	endogenous depression	SYM	SYM	SYM				https://www.google.com/webhp#q=Duloxetine	http://www.uptodate.com/contents/search?search=Duloxetine	http://www.drugbank.ca/drugs/DB00476	http://www.disease-ontology.org/term/DOID%3A1595	FALSE	TRUE	TRUE
Dyphylline	asthma	SYM	SYM	DM			same as theophylline	https://www.google.com/webhp#q=Dyphylline	http://www.uptodate.com/contents/search?search=Dyphylline	http://www.drugbank.ca/drugs/DB00651	http://www.disease-ontology.org/term/DOID%3A2841	FALSE	FALSE	FALSE
Efavirenz	acquired immunodeficiency syndrome	DM	DM	DM				https://www.google.com/webhp#q=Efavirenz	http://www.uptodate.com/contents/search?search=Efavirenz	http://www.drugbank.ca/drugs/DB00625	http://www.disease-ontology.org/term/DOID%3A635	FALSE	TRUE	TRUE
Eletriptan	migraine	SYM	SYM	SYM				https://www.google.com/webhp#q=Eletriptan	http://www.uptodate.com/contents/search?search=Eletriptan	http://www.drugbank.ca/drugs/DB00216	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	TRUE	TRUE
Enalapril	hypertension	DM	DM	DM				https://www.google.com/webhp#q=Enalapril	http://www.uptodate.com/contents/search?search=Enalapril	http://www.drugbank.ca/drugs/DB00584	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Enalapril	rheumatoid arthritis	NOT	NOT	NOT		Potential side effect		https://www.google.com/webhp#q=Enalapril	http://www.uptodate.com/contents/search?search=Enalapril	http://www.drugbank.ca/drugs/DB00584	http://www.disease-ontology.org/term/DOID%3A7148	FALSE	TRUE	TRUE
Entacapone	Parkinson's disease	SYM	SYM	SYM				https://www.google.com/webhp#q=Entacapone	http://www.uptodate.com/contents/search?search=Entacapone	http://www.drugbank.ca/drugs/DB00494	http://www.disease-ontology.org/term/DOID%3A14330	FALSE	TRUE	TRUE
Entecavir	hepatitis B	DM	DM	DM				https://www.google.com/webhp#q=Entecavir	http://www.uptodate.com/contents/search?search=Entecavir	http://www.drugbank.ca/drugs/DB00442	http://www.disease-ontology.org/term/DOID%3A2043	FALSE	TRUE	TRUE
Ephedrine	allergic rhinitis	SYM	SYM	SYM			same as oxymetazoline	https://www.google.com/webhp#q=Ephedrine	http://www.uptodate.com/contents/search?search=Ephedrine	http://www.drugbank.ca/drugs/DB01364	http://www.disease-ontology.org/term/DOID%3A4481	FALSE	TRUE	TRUE
Ephedrine	asthma	SYM	SYM	SYM				https://www.google.com/webhp#q=Ephedrine	http://www.uptodate.com/contents/search?search=Ephedrine	http://www.drugbank.ca/drugs/DB01364	http://www.disease-ontology.org/term/DOID%3A2841	FALSE	TRUE	TRUE
Epinephrine	allergic rhinitis	SYM	SYM	SYM			same as oxymetazoline	https://www.google.com/webhp#q=Epinephrine	http://www.uptodate.com/contents/search?search=Epinephrine	http://www.drugbank.ca/drugs/DB00668	http://www.disease-ontology.org/term/DOID%3A4481	FALSE	TRUE	TRUE
Epinephrine	asthma	SYM	SYM	SYM				https://www.google.com/webhp#q=Epinephrine	http://www.uptodate.com/contents/search?search=Epinephrine	http://www.drugbank.ca/drugs/DB00668	http://www.disease-ontology.org/term/DOID%3A2841	FALSE	TRUE	TRUE
Epirubicin	bone cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A184	FALSE	TRUE	TRUE
Epirubicin	breast cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A1612	FALSE	TRUE	TRUE
Epirubicin	hematologic cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A2531	FALSE	TRUE	TRUE
Epirubicin	liver cancer	DM	DM	DM	Pilot classification: disease-modifying; Pilot notes:			https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A3571	FALSE	TRUE	TRUE
Epirubicin	ovarian cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A2394	FALSE	TRUE	TRUE
Epirubicin	pancreatic cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A1793	FALSE	TRUE	TRUE
Epirubicin	prostate cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A10283	FALSE	TRUE	TRUE
Epirubicin	sarcoma	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A1115	FALSE	TRUE	TRUE
Epirubicin	stomach cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A10534	FALSE	TRUE	TRUE
Epirubicin	testicular cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A2998	FALSE	TRUE	TRUE
Epirubicin	thyroid cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A1781	FALSE	TRUE	TRUE
Epirubicin	urinary bladder cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A11054	FALSE	TRUE	TRUE
Epirubicin	uterine cancer	DM	DM	DM				https://www.google.com/webhp#q=Epirubicin	http://www.uptodate.com/contents/search?search=Epirubicin	http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A363	FALSE	TRUE	TRUE
Eplerenone	coronary artery disease	DM	DM	DM	DM in pts with CHF to prevent MI			https://www.google.com/webhp#q=Eplerenone	http://www.uptodate.com/contents/search?search=Eplerenone	http://www.drugbank.ca/drugs/DB00700	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	TRUE	TRUE
Epoprostenol	atherosclerosis	NOT	NOT	NOT				https://www.google.com/webhp#q=Epoprostenol	http://www.uptodate.com/contents/search?search=Epoprostenol	http://www.drugbank.ca/drugs/DB01240	http://www.disease-ontology.org/term/DOID%3A1936	FALSE	TRUE	TRUE
Epoprostenol	hypertension	NOT	NOT	NOT			see notes regarding occular HTN	https://www.google.com/webhp#q=Epoprostenol	http://www.uptodate.com/contents/search?search=Epoprostenol	http://www.drugbank.ca/drugs/DB01240	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Eprosartan	hypertension	DM	DM	DM				https://www.google.com/webhp#q=Eprosartan	http://www.uptodate.com/contents/search?search=Eprosartan	http://www.drugbank.ca/drugs/DB00876	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Ergotamine	migraine	SYM	SYM	SYM				https://www.google.com/webhp#q=Ergotamine	http://www.uptodate.com/contents/search?search=Ergotamine	http://www.drugbank.ca/drugs/DB00696	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	TRUE	TRUE
Eribulin	breast cancer	DM	DM	DM				https://www.google.com/webhp#q=Eribulin	http://www.uptodate.com/contents/search?search=Eribulin	http://www.drugbank.ca/drugs/DB08871	http://www.disease-ontology.org/term/DOID%3A1612	FALSE	TRUE	TRUE
Erlotinib	kidney cancer	DM	DM	DM				https://www.google.com/webhp#q=Erlotinib	http://www.uptodate.com/contents/search?search=Erlotinib	http://www.drugbank.ca/drugs/DB00530	http://www.disease-ontology.org/term/DOID%3A263	FALSE	TRUE	TRUE
Erlotinib	lung cancer	DM	DM	DM				https://www.google.com/webhp#q=Erlotinib	http://www.uptodate.com/contents/search?search=Erlotinib	http://www.drugbank.ca/drugs/DB00530	http://www.disease-ontology.org/term/DOID%3A1324	FALSE	TRUE	TRUE
Erlotinib	pancreatic cancer	DM	DM	DM				https://www.google.com/webhp#q=Erlotinib	http://www.uptodate.com/contents/search?search=Erlotinib	http://www.drugbank.ca/drugs/DB00530	http://www.disease-ontology.org/term/DOID%3A1793	FALSE	TRUE	TRUE
Escitalopram	Parkinson's disease	SYM	SYM	NOT			who treats parkinson's with SSRIs?	https://www.google.com/webhp#q=Escitalopram	http://www.uptodate.com/contents/search?search=Escitalopram	http://www.drugbank.ca/drugs/DB01175	http://www.disease-ontology.org/term/DOID%3A14330	FALSE	FALSE	FALSE
Escitalopram	bipolar disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Escitalopram	http://www.uptodate.com/contents/search?search=Escitalopram	http://www.drugbank.ca/drugs/DB01175	http://www.disease-ontology.org/term/DOID%3A3312	FALSE	TRUE	TRUE
Escitalopram	endogenous depression	SYM	SYM	SYM				https://www.google.com/webhp#q=Escitalopram	http://www.uptodate.com/contents/search?search=Escitalopram	http://www.drugbank.ca/drugs/DB01175	http://www.disease-ontology.org/term/DOID%3A1595	FALSE	TRUE	TRUE
Esomeprazole	Barrett's esophagus	DM	DM	DM		preventative		https://www.google.com/webhp#q=Esomeprazole	http://www.uptodate.com/contents/search?search=Esomeprazole	http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A9206	FALSE	TRUE	TRUE
