RXCUI_IN,DRUG_DESC,ICD9,INDICATION_DESCRIPTION,POSSIBLE_LABEL_USE
18687,bacampicillin,519.8,Other diseases of respiratory system; not elsewhere classified,0
18687,bacampicillin,599.0,Urinary tract infection; site not specified,0
18747,balsalazide,556,Ulcerative colitis,1
18747,balsalazide,556.8,Other ulcerative colitis,1
18747,balsalazide,556.9,Ulcerative colitis; unspecified,1
18747,balsalazide,558.9,Other and unspecified noninfectious gastroenteritis and colitis,1
18789,basic aluminum carbonate gel,530.11,Reflux esophagitis,0
18789,basic aluminum carbonate gel,530.81,Esophageal reflux,0
18789,basic aluminum carbonate gel,531,Gastric ulcer,0
18789,basic aluminum carbonate gel,531.90,Gastric ulcer; unspecified as acute or chronic; without mention of hemorrhage or perforation; without mention of obstruction,0
18789,basic aluminum carbonate gel,532,Duodenal ulcer,0
18789,basic aluminum carbonate gel,532.90,Duodenal ulcer; unspecified as acute or chronic; without hemorrhage or perforation; without mention of obstruction,0
18789,basic aluminum carbonate gel,536.8,Dyspepsia and other specified disorders of function of stomach,0
18789,basic aluminum carbonate gel,578,Gastrointestinal hemorrhage,0
18789,basic aluminum carbonate gel,578.9,Hemorrhage of gastrointestinal tract NOS,0
18789,basic aluminum carbonate gel,585.6,End stage renal disease,0
18789,basic aluminum carbonate gel,585.9,Chronic kidney disease; unspecified,0
18789,basic aluminum carbonate gel,586,Renal failure unspecified,0
18789,basic aluminum carbonate gel,787.1,Heartburn,0
18867,benazepril,250.4,Diabetes with renal manifestations,0
18867,benazepril,401-405.99,,1
18867,benazepril,401.9,Hypertension NOS,1
18867,benazepril,428.0,Congestive heart failure (CHF) NOS,0
18867,benazepril,429.3,Cardiomegaly,0
18867,benazepril,997.91,Hypertension,1
18896,bentiromide,577,Diseases of pancreas,0
18896,bentiromide,577.9,Pancreatic disease NOS,0
18927,benztropine mesylate,332,Parkinson's disease,0
18927,benztropine mesylate,332.0,Paralysis agitans,0
18993,benzonatate,786.2,Cough,1
18993,benzonatate,786.8,Hiccough,0
19008,benzthiazide,401-405.99,,0
19008,benzthiazide,401.9,Hypertension NOS,0
19008,benzthiazide,428.0,Congestive heart failure (CHF) NOS,0
19008,benzthiazide,581,Nephrotic syndrome,0
19008,benzthiazide,581.9,Nephrotic syndrome with unspecified pathological lesion in kidney,0
19008,benzthiazide,782.3,Edema,0
19008,benzthiazide,997.91,Hypertension,0
19257,Bethanechol,530.81,Esophageal reflux,0
19257,Bethanechol,596.54,Neurogenic bladder NOS,0
19257,Bethanechol,596.59,Other functional disorder of bladder,0
19257,Bethanechol,788.2,Retention of urine,1
19257,Bethanechol,788.20,Retention of urine NOS,1
19476,bismuth subgallate,004.9,Shigellosis NOS,0
19476,bismuth subgallate,041.49,Other and unspecified Escherichia coli [E. coli],0
19476,bismuth subgallate,079.99,Unspecified viral infection in conditions classified elsewhere and of unspecified site,0
19478,bismuth subsalicylate,004.9,Shigellosis NOS,0
19478,bismuth subsalicylate,041.49,Other and unspecified Escherichia coli [E. coli],0
19478,bismuth subsalicylate,079.99,Unspecified viral infection in conditions classified elsewhere and of unspecified site,0
19478,bismuth subsalicylate,536.8,Dyspepsia and other specified disorders of function of stomach,1
19478,bismuth subsalicylate,787.02,Nausea alone,1
19478,bismuth subsalicylate,787.1,Heartburn,1
19478,bismuth subsalicylate,787.7,Abnormal feces,1
19478,bismuth subsalicylate,787.91,Diarrhea,1
19484,Bisoprolol,401-405.99,,1
19484,Bisoprolol,401.9,Hypertension NOS,1
19484,Bisoprolol,410.90,Acute myocardial infarction; unspecified site; episode of care unspecified,0
19484,Bisoprolol,413,Angina pectoris,0
19484,Bisoprolol,413.9,Other and unspecified angina pectoris,0
19484,Bisoprolol,427.89,Other specified cardiac dysrhythmias,0
19484,Bisoprolol,428.0,Congestive heart failure (CHF) NOS,0
19484,Bisoprolol,786.50,Unspecified chest pain,0
19484,Bisoprolol,997.91,Hypertension,1
19499,bitolterol,493,Asthma,0
19499,bitolterol,493.9,Asthma; unspecified,0
19499,bitolterol,493.90,Asthma; unspecified type; without mention of status asthmaticus,0
19499,bitolterol,519.11,Acute bronchospasm,0
19551,pemirolast,372.14,Other chronic allergic conjunctivitis,1
19552,cefprozil,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,1
19552,cefprozil,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
19552,cefprozil,041.49,Other and unspecified Escherichia coli [E. coli],0
19552,cefprozil,041.6,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,0
19552,cefprozil,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
19552,cefprozil,041.9,Bacterial infection; unspecified; in conditions classified elsewhere and of unspecified site,1
19552,cefprozil,136.9,Unspecified infectious and parasitic diseases,1
19552,cefprozil,380.10,Infective otitis externa; unspecified,0
19552,cefprozil,382.9,Unspecified otitis media,1
19552,cefprozil,461.9,Acute sinusitis NOS,1
19552,cefprozil,462,Acute pharyngitis,1
19552,cefprozil,490,Bronchitis NOS,1
19552,cefprozil,686.8|041.9,,0
19552,cefprozil,686.9,Unspecified local infection of skin and subcutaneous tissue,0
19666,Nesiritide,428,Heart failure,1
19666,Nesiritide,428.0,Congestive heart failure (CHF) NOS,1
19666,Nesiritide,428.9,Heart failure unspecified,1
19666,Nesiritide,786.09,Other dyspnea and respiratory abnormality,1
19666,Nesiritide,797,Senility without mention of psychosis,1
19685,bretylium,427.1,Paroxysmal ventricular tachycardia,0
19685,bretylium,427.41,Ventricular fibrillation,0
19737,bromfenac,338-338.99,,1
19737,bromfenac,338.18,Other acute postoperative pain,0
19737,bromfenac,366,Cataract,1
19737,bromfenac,366.9,Cataract NOS,1
19737,bromfenac,379.91,Pain in or around eye,1
19737,bromfenac,780.96,Generalized pain,1
19831,Budesonide,471,Nasal polyps,1
19831,Budesonide,471.0,Polyp of nasal cavity,1
19831,Budesonide,471.9,Nasal polyp NOS,1
19831,Budesonide,472.0,Chronic rhinitis,1
19831,Budesonide,477.9,Allergic rhinitis NOS,1
19831,Budesonide,493,Asthma,1
19831,Budesonide,493.9,Asthma; unspecified,1
19831,Budesonide,493.90,Asthma; unspecified type; without mention of status asthmaticus,1
19831,Budesonide,519.11,Acute bronchospasm,1
19831,Budesonide,555.9,Regional enteritis of unspecified site,0
19831,Budesonide,995.3,Allergy unspecified not elsewhere classified,0
19860,butalbital,307.81,Tension headache,0
19860,butalbital,339.1,Tension type headache,0
19860,butalbital,339.10,Tension headache NOS,0
19860,butalbital,784.0,Headache,0
19884,butoconazole,112.1,Candidiasis of vulva and vagina,1
19959,acrivastine,477.0,Allergic rhinitis due to pollen,0
19959,acrivastine,477.9,Allergic rhinitis NOS,0
19959,acrivastine,708,Urticaria,0
19959,acrivastine,708.9,Unspecified urticaria,0
19959,acrivastine,995.3,Allergy unspecified not elsewhere classified,0
20033,caffeine citrate,765.10,Other preterm infants; unspecified [weight],1
20033,caffeine citrate,786.03,Apnea,1
20033,caffeine citrate,786.09,Other dyspnea and respiratory abnormality,1
20063,calcium polycarbophil,562.11,Diverticulitis of colon without mention of hemorrhage,0
20063,calcium polycarbophil,564.0,Constipation,0
20063,calcium polycarbophil,564.00,Constipation NOS,0
20063,calcium polycarbophil,564.1,Irritable bowel syndrome,0
20063,calcium polycarbophil,787.7,Abnormal feces,0
20063,calcium polycarbophil,787.91,Diarrhea,0
20217,carbetapentane,460,Acute nasopharyngitis (common cold),0
20217,carbetapentane,786.2,Cough,0
20220,carbinoxamine,372.14,Other chronic allergic conjunctivitis,1
20220,carbinoxamine,477.0,Allergic rhinitis due to pollen,0
20220,carbinoxamine,477.9,Allergic rhinitis NOS,1
20220,carbinoxamine,708,Urticaria,1
20220,carbinoxamine,708.3,Dermatographic urticaria,1
20220,carbinoxamine,708.9,Unspecified urticaria,1
20220,carbinoxamine,995.1,Angioneurotic edema not elsewhere classified,1
20220,carbinoxamine,995.3,Allergy unspecified not elsewhere classified,1
20352,carvedilol,401-405.99,,1
20352,carvedilol,401.9,Hypertension NOS,1
20352,carvedilol,410.90,Acute myocardial infarction; unspecified site; episode of care unspecified,1
20352,carvedilol,413,Angina pectoris,0
20352,carvedilol,413.9,Other and unspecified angina pectoris,0
20352,carvedilol,428,Heart failure,1
20352,carvedilol,428.0,Congestive heart failure (CHF) NOS,1
20352,carvedilol,428.9,Heart failure unspecified,1
20352,carvedilol,786.50,Unspecified chest pain,0
20352,carvedilol,997.91,Hypertension,1
20481,cefepime,038.9,Septicemia NOS,1
20481,cefepime,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,0
20481,cefepime,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
20481,cefepime,041.49,Other and unspecified Escherichia coli [E. coli],0
20481,cefepime,041.6,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,0
20481,cefepime,041.7,Pseudomonas infection in conditions classified elsewhere and of unspecified site,1
20481,cefepime,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
20481,cefepime,136.9,Unspecified infectious and parasitic diseases,1
20481,cefepime,288.0,Agranulocytosis,1
20481,cefepime,288.00,Neutropenia NOS,1
20481,cefepime,482.9,Bacterial pneumonia NOS,0
20481,cefepime,486,Pneumonia; organism unspecified,1
20481,cefepime,590.80,Pyelonephritis NOS,1
20481,cefepime,599.0,Urinary tract infection; site not specified,1
20481,cefepime,686.8|041.9,,0
20481,cefepime,780.60,Fever; unspecified,0
20481,cefepime,995.91,Sepsis,0
20489,cefpodoxime,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,0
20489,cefpodoxime,041.49,Other and unspecified Escherichia coli [E. coli],0
20489,cefpodoxime,041.6,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,0
20489,cefpodoxime,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
20489,cefpodoxime,098,Gonococcal infections,1
20489,cefpodoxime,098.89,Gonococcal infection of other specified sites,1
20489,cefpodoxime,136.9,Unspecified infectious and parasitic diseases,1
20489,cefpodoxime,382.9,Unspecified otitis media,1
20489,cefpodoxime,461.9,Acute sinusitis NOS,1
20489,cefpodoxime,462,Acute pharyngitis,1
20489,cefpodoxime,463,Acute tonsillitis,1
20489,cefpodoxime,482.9,Bacterial pneumonia NOS,0
20489,cefpodoxime,486,Pneumonia; organism unspecified,1
20489,cefpodoxime,490,Bronchitis NOS,1
20489,cefpodoxime,599.0,Urinary tract infection; site not specified,1
20489,cefpodoxime,686.8|041.9,,0
20492,ceftibuten,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,0
20492,ceftibuten,041.49,Other and unspecified Escherichia coli [E. coli],0
20492,ceftibuten,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
20492,ceftibuten,136.9,Unspecified infectious and parasitic diseases,1
20492,ceftibuten,382.9,Unspecified otitis media,1
20492,ceftibuten,462,Acute pharyngitis,1
20492,ceftibuten,463,Acute tonsillitis,1
20492,ceftibuten,486,Pneumonia; organism unspecified,1
20492,ceftibuten,490,Bronchitis NOS,1
20492,ceftibuten,491,Chronic bronchitis,1
20492,ceftibuten,491.9,Chronic bronchitis NOS,1
20610,Cetirizine,375.2,Epiphora,1
20610,Cetirizine,375.20,Epiphora NOS,1
20610,Cetirizine,379.99,Other ill-defined disorders of eye,1
20610,Cetirizine,477.0,Allergic rhinitis due to pollen,1
20610,Cetirizine,477.9,Allergic rhinitis NOS,1
20610,Cetirizine,478.19,Other diseases of nasal cavity and sinuses,1
20610,Cetirizine,698.9,Unspecified pruritic disorder,1
20610,Cetirizine,708,Urticaria,1
20610,Cetirizine,708.9,Unspecified urticaria,1
20610,Cetirizine,780-789.99,,0
20610,Cetirizine,995.3,Allergy unspecified not elsewhere classified,1
20791,chlorhexidine gluconate,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
20791,chlorhexidine gluconate,112.0,Candidiasis of mouth,0
20791,chlorhexidine gluconate,523.10,Chronic gingivitis; plaque induced,1
20791,chlorhexidine gluconate,523.9,Unspecified gingival and periodontal disease,0
20791,chlorhexidine gluconate,686.9,Unspecified local infection of skin and subcutaneous tissue,0
20859,chloroprocaine,338-338.99,,0
20859,chloroprocaine,780.96,Generalized pain,0
20863,chloroquine phosphate,006,Amebiasis,1
20863,chloroquine phosphate,006.9,Amebiasis NOS,1
20863,chloroquine phosphate,084,Malaria,0
20863,chloroquine phosphate,084.0,Falciparum malaria [malignant tertian],1
20863,chloroquine phosphate,084.2,Quartan malaria,1
20863,chloroquine phosphate,084.6,Malaria NOS,0
20863,chloroquine phosphate,136.8,Other specified infectious and parasitic diseases,1
20863,chloroquine phosphate,694.4,Pemphigus,0
20863,chloroquine phosphate,695.4,Lupus erythematosus,0
20863,chloroquine phosphate,710.1,Systemic sclerosis,0
20863,chloroquine phosphate,714.0,Rheumatoid arthritis,0
20875,chloroxine,690.1,Seborrheic dermatitis,1
20875,chloroxine,690.10,Seborheic dermatitis; unspecified,1
20875,chloroxine,692.9,Contact dermatitis and other eczema; unspecified cause,1
20875,chloroxine,706.3,Seborrhea,1
20875,chloroxine,709.9,Unspecified disorder of skin and subcutaneous tissue,0
20877,chloroxylenol,686.9,Unspecified local infection of skin and subcutaneous tissue,0
20974,choline salicylate,338-338.99,,0
20974,choline salicylate,390,Rheumatic fever without mention of heart involvement,0
20974,choline salicylate,390-392.99,,0
20974,choline salicylate,714.0,Rheumatoid arthritis,0
20974,choline salicylate,715.00,Osteoarthrosis; generalized; involving unspecified site,0
20974,choline salicylate,715.9,Osteoarthrosis; unspecified whether generalized or localized,0
20974,choline salicylate,715.90,Osteoarthrosis; unspecified whether generalized or localized; involving unspecified site,0
20974,choline salicylate,780.96,Generalized pain,0
20976,oxtriphylline,427.89,Other specified cardiac dysrhythmias,0
20976,oxtriphylline,490,Bronchitis NOS,1
20976,oxtriphylline,492,Emphysema,1
20976,oxtriphylline,492.8,Other emphysema,1
20976,oxtriphylline,493,Asthma,1
20976,oxtriphylline,493.9,Asthma; unspecified,1
20976,oxtriphylline,493.90,Asthma; unspecified type; without mention of status asthmaticus,1
20976,oxtriphylline,519.11,Acute bronchospasm,0
20976,oxtriphylline,786.03,Apnea,0
20976,oxtriphylline,786.09,Other dyspnea and respiratory abnormality,0
21090,ciclopirox,110.1,Dermatophytosis of nail,1
21090,ciclopirox,110.4,Dermatophytosis of foot,1
21090,ciclopirox,111,Dermatomycosis; other and unspecified,1
21090,ciclopirox,111.0,Pityriasis versicolor,0
21090,ciclopirox,111.9,Dermatomycosis NOS,1
21090,ciclopirox,112.3,Candidiasis of skin and nails,1
21090,ciclopirox,136.9,Unspecified infectious and parasitic diseases,1
21090,ciclopirox,690.1,Seborrheic dermatitis,1
21090,ciclopirox,690.10,Seborheic dermatitis; unspecified,1
21090,ciclopirox,706.3,Seborrhea,1
21102,Cilazapril,428.0,Congestive heart failure (CHF) NOS,1
21107,cilostazol,443.9,Peripheral vascular disease; unspecified,1
21107,cilostazol,996.74,Other complications due to other vascular device; implant; and graft,0
21183,Citric Acid,588.89,Other specified disorders resulting from impaired renal function,0
21212,Clarithromycin,031.8,Other specified mycobacterial diseases,1
21212,Clarithromycin,031.9,Unspecified diseases due to mycobacteria,1
21212,Clarithromycin,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,1
21212,Clarithromycin,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
21212,Clarithromycin,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
21212,Clarithromycin,041.9|421.0,,0
21212,Clarithromycin,042,Human immunodeficiency virus [HIV] disease,1
21212,Clarithromycin,042-042.99,,1
21212,Clarithromycin,079.98,Unspecified chlamydial infection in conditions classified elsewhere and of unspecified site,0
21212,Clarithromycin,088.81,Lyme disease,0
21212,Clarithromycin,136.9,Unspecified infectious and parasitic diseases,1
21212,Clarithromycin,382.9,Unspecified otitis media,1
21212,Clarithromycin,461.0,Acute maxillary sinusitis,1
21212,Clarithromycin,461.9,Acute sinusitis NOS,1
21212,Clarithromycin,462,Acute pharyngitis,1
21212,Clarithromycin,463,Acute tonsillitis,1
21212,Clarithromycin,483.0,Pneumonia due to Mycoplasma pneumoniae,1
21212,Clarithromycin,486,Pneumonia; organism unspecified,1
21212,Clarithromycin,490,Bronchitis NOS,1
21212,Clarithromycin,491,Chronic bronchitis,1
21212,Clarithromycin,491.9,Chronic bronchitis NOS,1
21212,Clarithromycin,532,Duodenal ulcer,1
21212,Clarithromycin,532.90,Duodenal ulcer; unspecified as acute or chronic; without hemorrhage or perforation; without mention of obstruction,1
21212,Clarithromycin,686.9,Unspecified local infection of skin and subcutaneous tissue,0
21212,Clarithromycin,707.9,Chronic ulcer of unspecified site,1
21212,Clarithromycin,799.9,Other unknown and unspecified cause of morbidity or mortality,0
21232,clidinium,533,Peptic ulcer; site unspecified,0
21232,clidinium,533.90,Peptic ulcer of unspecified site; unspecified as acute or chronic; without mention of hemorrhage or perforation; without mention of obstruction,0
21232,clidinium,536.8,Dyspepsia and other specified disorders of function of stomach,0
21232,clidinium,558.9,Other and unspecified noninfectious gastroenteritis and colitis,0
21232,clidinium,564.1,Irritable bowel syndrome,0
21241,clobazam,345.00,Generalized nonconvulsive epilepsy; without mention of intractable epilepsy,1
21241,clobazam,780.39,Other convulsions,1
21245,Clobetasol Propionate,692.9,Contact dermatitis and other eczema; unspecified cause,0
21245,Clobetasol Propionate,696.1,Other psoriasis and similar disorders excluding psoriatic arthropathy,1
21245,Clobetasol Propionate,709.9,Unspecified disorder of skin and subcutaneous tissue,1
21249,clocortolone,709.9,Unspecified disorder of skin and subcutaneous tissue,1
21389,cocoa butter,692.9,Contact dermatitis and other eczema; unspecified cause,0
21406,coenzyme Q10,272.4,Other and unspecified hyperlipidemia,0
21406,coenzyme Q10,333.4,Huntington's chorea,0
21406,coenzyme Q10,401-405.99,,0
21406,coenzyme Q10,401.9,Hypertension NOS,0
21406,coenzyme Q10,413,Angina pectoris,0
21406,coenzyme Q10,413.9,Other and unspecified angina pectoris,0
21406,coenzyme Q10,428.0,Congestive heart failure (CHF) NOS,0
21406,coenzyme Q10,780.71,Chronic fatigue syndrome,0
21406,coenzyme Q10,780.79,Other malaise and fatigue,0
21406,coenzyme Q10,786.50,Unspecified chest pain,0
21406,coenzyme Q10,977.9,Poisoning by unspecified drug or medicinal substance,0
21406,coenzyme Q10,997.91,Hypertension,0
21655,cortisone acetate,255.41,Glucocorticoid deficiency,0
21766,crotamiton,133.0,Scabies,1
21766,crotamiton,698.9,Unspecified pruritic disorder,0
21949,cyclobenzaprine,037,Tetanus,0
21949,cyclobenzaprine,041.84,Other anaerobe infection in conditions classified elsewhere and of unspecified site,0
21949,cyclobenzaprine,338-338.99,,1
21949,cyclobenzaprine,728.85,Spasm of muscle,1
21949,cyclobenzaprine,728.9,Unspecified disorder of muscle; ligament; and fascia,0
21949,cyclobenzaprine,729.1,Myalgia and myositis unspecified,0
21949,cyclobenzaprine,729.82,Cramp of limb,0
21949,cyclobenzaprine,780.96,Generalized pain,1
21949,cyclobenzaprine,781.0,Abnormal involuntary movements,1
21949,cyclobenzaprine,781.99,Other symptoms involving nervous and musculoskeletal systems,0
21949,cyclobenzaprine,959.9,Other and unspecified injury to unspecified site,0
22033,cyclothiazide,401-405.99,,0
22033,cyclothiazide,401.9,Hypertension NOS,0
22033,cyclothiazide,428.0,Congestive heart failure (CHF) NOS,0
22033,cyclothiazide,581,Nephrotic syndrome,0
22033,cyclothiazide,581.9,Nephrotic syndrome with unspecified pathological lesion in kidney,0
22033,cyclothiazide,782.3,Edema,0
22033,cyclothiazide,997.91,Hypertension,0
22178,cytomegalovirus immune globulin,078.5,Cytomegaloviral disease,0
22178,cytomegalovirus immune globulin,136.9,Unspecified infectious and parasitic diseases,0
22178,cytomegalovirus immune globulin,279.3,Unspecified immunity deficiency,0
22298,dapiprazole,379.43,Mydriasis (persistent); not due to mydriatics,0
22298,dapiprazole,95.09,EYE EXAMINATION NOS,0
22299,Daptomycin,136.9,Unspecified infectious and parasitic diseases,1
22299,Daptomycin,424.90,Endocarditis valve unspecified cause,1
22299,Daptomycin,486,Pneumonia; organism unspecified,1
22299,Daptomycin,686.9,Unspecified local infection of skin and subcutaneous tissue,0
22299,Daptomycin,790.7,Bacteremia,1
22656,Desogestrel,617,Endometriosis,0
22656,Desogestrel,617.9,Endometriosis; site unspecified,0
22656,Desogestrel,626.9,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,0
22656,Desogestrel,706.1,Other acne,0
22656,Desogestrel,V22.2,Pregnant state; incidental,0
22696,dexbrompheniramine,461.9,Acute sinusitis NOS,0
22696,dexbrompheniramine,477.0,Allergic rhinitis due to pollen,0
22696,dexbrompheniramine,477.9,Allergic rhinitis NOS,0
22697,dexchlorpheniramine,477.0,Allergic rhinitis due to pollen,0
22697,dexchlorpheniramine,477.9,Allergic rhinitis NOS,0
22697,dexchlorpheniramine,708,Urticaria,0
22697,dexchlorpheniramine,708.9,Unspecified urticaria,0
22701,dexpanthenol,266,Deficiency of B-complex components,0
22701,dexpanthenol,266.9,Vitamin B deficiency NOS,0
22713,dezocine,338-338.99,,0
22713,dezocine,780.96,Generalized pain,0
22892,dichloralphenazone,346,Migraine,0
22892,dichloralphenazone,346.9,Migraine; unspecified,0
22892,dichloralphenazone,346.90,Migraine; unspecified; without mention of intractable migraine without mention of status migrainosus,0
22968,dienogest,617,Endometriosis,0
22968,dienogest,617.9,Endometriosis; site unspecified,0
23024,difenoxin,787.7,Abnormal feces,0
23024,difenoxin,787.91,Diarrhea,0
23033,diflorasone diacetate,698.9,Unspecified pruritic disorder,0
23033,diflorasone diacetate,709.9,Unspecified disorder of skin and subcutaneous tissue,1
23043,difluprednate,338-338.99,,1
23043,difluprednate,780.96,Generalized pain,1
23066,Dihematoporphyrin Ether,162.9,Malignant neoplasm of bronchus and lung; unspecified,1
23066,Dihematoporphyrin Ether,239.0,Neoplasm of unspecified nature of digestive system,0
23066,Dihematoporphyrin Ether,239.1,Neoplasm of unspecified nature of respiratory system,0
23088,dihydrocodeine,338-338.99,,0
23088,dihydrocodeine,338.18,Other acute postoperative pain,0
23088,dihydrocodeine,514,Pulmonary congestion and hypostasis,0
23088,dihydrocodeine,780.96,Generalized pain,0
23088,dihydrocodeine,786.2,Cough,0
23370,diphenidol,780.4,Dizziness and giddiness,0
23370,diphenidol,787.02,Nausea alone,0
23370,diphenidol,787.03,Vomiting alone,0
23410,Dipivefrin,365,Glaucoma,1
23410,Dipivefrin,365.1,Open-angle glaucoma,0
23410,Dipivefrin,365.10,Open-angle glaucoma NOS,0
23410,Dipivefrin,365.13,Pigmentary glaucoma,0
23410,Dipivefrin,365.9,Glaucoma NOS,1
23437,dirithromycin,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,0
23437,dirithromycin,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
23437,dirithromycin,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
23437,dirithromycin,463,Acute tonsillitis,0
23437,dirithromycin,482.9,Bacterial pneumonia NOS,0
23437,dirithromycin,490,Bronchitis NOS,0
23663,doxycycline hyclate,022,Anthrax,1
23663,doxycycline hyclate,022.9,Anthrax NOS,1
23663,doxycycline hyclate,041.81,Mycoplasma infection in conditions classified elsewhere and of unspecified site,1
23663,doxycycline hyclate,041.9,Bacterial infection; unspecified; in conditions classified elsewhere and of unspecified site,1
23663,doxycycline hyclate,079.98,Unspecified chlamydial infection in conditions classified elsewhere and of unspecified site,0
23663,doxycycline hyclate,082.0,Spotted fevers,1
23663,doxycycline hyclate,083.9,Rickettsiosis NOS,0
23663,doxycycline hyclate,084,Malaria,0
23663,doxycycline hyclate,084.2,Quartan malaria,0
23663,doxycycline hyclate,084.6,Malaria NOS,0
23663,doxycycline hyclate,088.81,Lyme disease,1
23663,doxycycline hyclate,097.9,Syphilis NOS,1
23663,doxycycline hyclate,136.9,Unspecified infectious and parasitic diseases,1
23663,doxycycline hyclate,465.9,Acute upper respiratory infections of unspecified site,1
23663,doxycycline hyclate,482.9,Bacterial pneumonia NOS,0
23663,doxycycline hyclate,486,Pneumonia; organism unspecified,1
23663,doxycycline hyclate,511.9,Pleural effusion NOS,0
23663,doxycycline hyclate,519.8,Other diseases of respiratory system; not elsewhere classified,1
23663,doxycycline hyclate,599.0,Urinary tract infection; site not specified,1
23663,doxycycline hyclate,706.1,Other acne,1
23663,doxycycline hyclate,780.60,Fever; unspecified,1
23663,doxycycline hyclate,780.99,Other general symptoms,1
23663,doxycycline hyclate,799.89,Other ill-defined conditions,1
23665,doxylamine succinate,307.42,Persistent disorder of initiating or maintaining sleep,0
23665,doxylamine succinate,477.9,Allergic rhinitis NOS,0
23665,doxylamine succinate,784.0,Headache,0
23665,doxylamine succinate,V22.2,Pregnant state; incidental,0
23744,dyclonine,338-338.99,,1
23744,dyclonine,780.96,Generalized pain,1
23744,dyclonine,784.0,Headache,0
24346,Erythromycin Gluceptate,008.43,Intestinal infection due to campylobacter,0
24346,Erythromycin Gluceptate,033.0,Whooping cough due to bordetella pertussis (b. pertussis),0
24346,Erythromycin Gluceptate,039.0,Cutaneous actinomycosis,0
24346,Erythromycin Gluceptate,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,0
24346,Erythromycin Gluceptate,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
24346,Erythromycin Gluceptate,041.81,Mycoplasma infection in conditions classified elsewhere and of unspecified site,0
24346,Erythromycin Gluceptate,041.89,Other specified bacterial infection in conditions classified elsewhere and of unspecified site,0
24346,Erythromycin Gluceptate,079.98,Unspecified chlamydial infection in conditions classified elsewhere and of unspecified site,0
24346,Erythromycin Gluceptate,097.9,Syphilis NOS,0
24346,Erythromycin Gluceptate,098,Gonococcal infections,0
24346,Erythromycin Gluceptate,098.89,Gonococcal infection of other specified sites,0
24346,Erythromycin Gluceptate,099.0,Chancroid,0
24346,Erythromycin Gluceptate,379.99|041.9,,0
24346,Erythromycin Gluceptate,482.84,Legionnaires' disease,0
24346,Erythromycin Gluceptate,558.9,Other and unspecified noninfectious gastroenteritis and colitis,0
24346,Erythromycin Gluceptate,597.80,Urethritis NOS,0
24346,Erythromycin Gluceptate,706.1,Other acne,0
24347,erythromycin lactobionate,008.43,Intestinal infection due to campylobacter,0
24347,erythromycin lactobionate,033.0,Whooping cough due to bordetella pertussis (b. pertussis),0
24347,erythromycin lactobionate,039.0,Cutaneous actinomycosis,1
24347,erythromycin lactobionate,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,1
24347,erythromycin lactobionate,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
24347,erythromycin lactobionate,041.81,Mycoplasma infection in conditions classified elsewhere and of unspecified site,1
24347,erythromycin lactobionate,041.89,Other specified bacterial infection in conditions classified elsewhere and of unspecified site,0
24347,erythromycin lactobionate,079.98,Unspecified chlamydial infection in conditions classified elsewhere and of unspecified site,0
24347,erythromycin lactobionate,097.9,Syphilis NOS,1
24347,erythromycin lactobionate,098,Gonococcal infections,1
24347,erythromycin lactobionate,098.89,Gonococcal infection of other specified sites,1
24347,erythromycin lactobionate,099.0,Chancroid,0
24347,erythromycin lactobionate,379.99|041.9,,0
24347,erythromycin lactobionate,482.84,Legionnaires' disease,0
24347,erythromycin lactobionate,519.8,Other diseases of respiratory system; not elsewhere classified,1
24347,erythromycin lactobionate,558.9,Other and unspecified noninfectious gastroenteritis and colitis,0
24347,erythromycin lactobionate,597.80,Urethritis NOS,0
